no_of_children,no_of_week_nights,arrival_date,avg_price_per_room,booking_status
0.0,2.0,2.0,65.0,0.0
0.0,3.0,6.0,106.68,0.0
0.0,1.0,28.0,60.0,1.0
0.0,2.0,20.0,100.0,1.0
0.0,1.0,11.0,94.5,1.0
0.0,2.0,13.0,115.0,1.0
0.0,3.0,15.0,107.55,0.0
0.0,3.0,26.0,105.61,0.0
0.0,4.0,6.0,96.9,0.0
0.0,5.0,18.0,133.44,0.0
0.0,0.0,11.0,85.03,0.0
0.0,1.0,30.0,140.4,0.0
0.0,1.0,26.0,88.0,1.0
0.0,0.0,20.0,90.0,1.0
0.0,2.0,20.0,94.5,0.0
0.0,2.0,15.0,115.0,1.0
0.0,0.0,5.0,96.0,0.0
0.0,3.0,10.0,96.0,0.0
0.0,2.0,30.0,65.0,1.0
0.0,0.0,4.0,72.0,0.0
0.0,2.0,30.0,65.0,1.0
0.0,1.0,25.0,67.0,0.0
0.0,4.0,20.0,85.0,0.0
0.0,3.0,13.0,105.0,0.0
0.0,1.0,22.0,94.5,0.0
0.0,2.0,28.0,114.3,0.0
0.0,1.0,21.0,65.0,0.0
0.0,2.0,19.0,110.0,1.0
0.0,2.0,6.0,37.33,1.0
0.0,2.0,17.0,82.0,0.0
0.0,1.0,19.0,177.5,0.0
0.0,2.0,13.0,87.5,0.0
2.0,3.0,7.0,82.44,0.0
0.0,1.0,9.0,69.5,0.0
0.0,2.0,7.0,85.5,0.0
0.0,1.0,27.0,115.0,0.0
0.0,1.0,19.0,81.0,1.0
0.0,1.0,17.0,67.0,0.0
0.0,3.0,19.0,63.75,1.0
0.0,1.0,30.0,121.8,1.0
0.0,4.0,1.0,93.6,0.0
0.0,2.0,21.0,102.0,0.0
0.0,1.0,10.0,121.8,0.0
0.0,1.0,27.0,98.1,1.0
0.0,4.0,18.0,60.0,0.0
0.0,3.0,29.0,75.0,0.0
0.0,2.0,20.0,73.0,0.0
0.0,1.0,6.0,104.0,0.0
0.0,4.0,1.0,79.2,0.0
0.0,3.0,29.0,125.8,0.0
0.0,5.0,30.0,87.95,0.0
0.0,2.0,22.0,106.0,1.0
0.0,2.0,16.0,136.67,0.0
0.0,4.0,11.0,60.0,0.0
0.0,0.0,13.0,89.0,0.0
0.0,3.0,19.0,136.0,0.0
